code,prefecture,教育業界就業者,学生関連
1,北海道,46,45
2,青森県,31,28
3,岩手県,33,7
4,宮城県,24,16
5,秋田県,39,23
6,山形県,20,37
7,福島県,47,41
8,茨城県,9,20
9,栃木県,11,38
10,群馬県,27,27
11,埼玉県,32,43
12,千葉県,40,33
13,東京都,13,3
14,神奈川県,1,32
15,新潟県,44,40
16,富山県,2,11
17,石川県,5,34
18,福井県,26,22
19,山梨県,41,47
20,長野県,17,31
21,岐阜県,8,25
22,静岡県,25,42
23,愛知県,28,17
24,三重県,11,17
25,滋賀県,21,46
26,京都府,23,13
27,大阪府,29,24
28,兵庫県,35,7
29,奈良県,15,21
30,和歌山県,7,35
31,鳥取県,10,2
32,島根県,18,44
33,岡山県,14,25
34,広島県,4,9
35,山口県,30,6
36,徳島県,3,1
37,香川県,16,30
38,愛媛県,33,14
39,高知県,6,5
40,福岡県,22,15
41,佐賀県,19,17
42,長崎県,42,12
43,熊本県,45,4
44,大分県,43,38
45,宮崎県,36,28
46,鹿児島県,38,35
47,沖縄県,37,10
