code,prefecture,教育業界就業者,学生関連
1,北海道,0.135,0.821
2,青森県,0.217,0.908
3,岩手県,0.21,0.969
4,宮城県,0.245,0.946
5,秋田県,0.191,0.918
6,山形県,0.26,0.883
7,福島県,0.13,0.855
8,茨城県,0.292,0.93
9,栃木県,0.283,0.877
10,群馬県,0.235,0.91
11,埼玉県,0.212,0.846
12,千葉県,0.188,0.892
13,東京都,0.28,0.995
14,神奈川県,0.406,0.897
15,新潟県,0.165,0.87
16,富山県,0.39,0.958
17,石川県,0.359,0.886
18,福井県,0.238,0.922
19,山梨県,0.186,0.815
20,長野県,0.268,0.9
21,岐阜県,0.31,0.915
22,静岡県,0.243,0.852
23,愛知県,0.233,0.933
24,三重県,0.283,0.933
25,滋賀県,0.259,0.819
26,京都府,0.246,0.955
27,大阪府,0.232,0.917
28,兵庫県,0.207,0.969
29,奈良県,0.272,0.929
30,和歌山県,0.317,0.884
31,鳥取県,0.286,0.997
32,島根県,0.266,0.834
33,岡山県,0.274,0.915
34,広島県,0.375,0.963
35,山口県,0.227,0.978
36,徳島県,0.389,1
37,香川県,0.271,0.905
38,愛媛県,0.21,0.95
39,高知県,0.357,0.98
40,福岡県,0.255,0.948
41,佐賀県,0.262,0.933
42,長崎県,0.179,0.957
43,熊本県,0.141,0.993
44,大分県,0.17,0.877
45,宮崎県,0.202,0.908
46,鹿児島県,0.196,0.884
47,沖縄県,0.201,0.961
