code,prefecture,行政,教育,政治,経済
1,北海道,0.228,0.517,0.243,0.402
2,青森県,0.261,0.601,0.187,0.419
3,岩手県,0.292,0.632,0.156,0.433
4,宮城県,0.272,0.635,0.25,0.428
5,秋田県,0.284,0.595,0.169,0.424
6,山形県,0.333,0.606,0.267,0.431
7,福島県,0.3,0.533,0.157,0.426
8,茨城県,0.282,0.647,0.18,0.425
9,栃木県,0.294,0.614,0.242,0.413
10,群馬県,0.269,0.611,0.183,0.422
11,埼玉県,0.334,0.565,0.243,0.417
12,千葉県,0.244,0.58,0.256,0.416
13,東京都,0.335,0.678,0.382,0.447
14,神奈川県,0.296,0.679,0.266,0.422
15,新潟県,0.282,0.557,0.239,0.43
16,富山県,0.321,0.709,0.147,0.423
17,石川県,0.315,0.652,0.151,0.428
18,福井県,0.423,0.619,0.184,0.422
19,山梨県,0.245,0.536,0.141,0.437
20,長野県,0.298,0.619,0.19,0.419
21,岐阜県,0.331,0.647,0.183,0.424
22,静岡県,0.271,0.582,0.206,0.416
23,愛知県,0.309,0.623,0.211,0.42
24,三重県,0.291,0.645,0.24,0.409
25,滋賀県,0.391,0.57,0.232,0.415
26,京都府,0.315,0.64,0.229,0.436
27,大阪府,0.267,0.613,0.263,0.433
28,兵庫県,0.282,0.631,0.213,0.42
29,奈良県,0.293,0.637,0.162,0.419
30,和歌山県,0.263,0.632,0.153,0.428
31,鳥取県,0.488,0.682,0.189,0.451
32,島根県,0.385,0.582,0.183,0.43
33,岡山県,0.321,0.631,0.228,0.431
34,広島県,0.316,0.702,0.194,0.423
35,山口県,0.28,0.645,0.19,0.421
36,徳島県,0.39,0.729,0.165,0.442
37,香川県,0.324,0.623,0.202,0.42
38,愛媛県,0.273,0.621,0.173,0.417
39,高知県,0.332,0.703,0.164,0.452
40,福岡県,0.345,0.64,0.184,0.43
41,佐賀県,0.307,0.635,0.149,0.432
42,長崎県,0.274,0.612,0.164,0.429
43,熊本県,0.289,0.615,0.163,0.435
44,大分県,0.303,0.563,0.184,0.436
45,宮崎県,0.249,0.595,0.147,0.43
46,鹿児島県,0.263,0.579,0.157,0.43
47,沖縄県,0.298,0.624,0.182,0.445
