code,prefecture,行政,教育,政治,経済
1,北海道,47,47,7,47
2,青森県,43,34,23,37
3,岩手県,27,18,41,10
4,宮城県,37,16,6,21
5,秋田県,30,35,33,26
6,山形県,7,33,2,13
7,福島県,22,46,39,24
8,茨城県,31,9,31,25
9,栃木県,25,29,9,45
10,群馬県,39,32,27,30
11,埼玉県,9,42,7,40
12,千葉県,45,39,5,42
13,東京都,7,7,1,3
14,神奈川県,24,6,3,30
15,新潟県,31,44,10,15
16,富山県,13,2,45,28
17,石川県,16,8,43,21
18,福井県,2,26,24,30
19,山梨県,45,45,47,6
20,長野県,23,26,20,37
21,岐阜県,10,9,27,26
22,静岡県,38,37,17,42
23,愛知県,18,23,16,34
24,三重県,28,11,11,46
25,滋賀県,3,41,12,44
26,京都府,16,13,13,7
27,大阪府,40,30,4,10
28,兵庫県,31,20,15,34
29,奈良県,26,15,38,37
30,和歌山県,41,18,42,21
31,鳥取県,1,5,22,2
32,島根県,5,37,27,15
33,岡山県,14,20,14,13
34,広島県,15,4,19,28
35,山口県,34,11,20,33
36,徳島県,4,1,34,5
37,香川県,12,23,18,34
38,愛媛県,36,25,32,40
39,高知県,11,3,35,1
40,福岡県,6,13,24,15
41,佐賀県,19,16,44,12
42,長崎県,35,31,35,20
43,熊本県,29,28,37,9
44,大分県,19,43,24,7
45,宮崎県,44,35,45,15
46,鹿児島県,41,40,39,15
47,沖縄県,21,22,30,4
