code,prefecture,【17】四年制大学進学率の男女差
1,北海道,45
2,青森県,28
3,岩手県,7
4,宮城県,16
5,秋田県,23
6,山形県,37
7,福島県,41
8,茨城県,20
9,栃木県,38
10,群馬県,27
11,埼玉県,43
12,千葉県,33
13,東京都,3
14,神奈川県,32
15,新潟県,40
16,富山県,11
17,石川県,34
18,福井県,22
19,山梨県,47
20,長野県,31
21,岐阜県,25
22,静岡県,42
23,愛知県,17
24,三重県,17
25,滋賀県,46
26,京都府,13
27,大阪府,24
28,兵庫県,7
29,奈良県,21
30,和歌山県,35
31,鳥取県,2
32,島根県,44
33,岡山県,25
34,広島県,9
35,山口県,6
36,徳島県,1
37,香川県,30
38,愛媛県,14
39,高知県,5
40,福岡県,15
41,佐賀県,17
42,長崎県,12
43,熊本県,4
44,大分県,38
45,宮崎県,28
46,鹿児島県,35
47,沖縄県,10
