code,prefecture,【17】四年制大学進学率の男女差
1,北海道,0.821
2,青森県,0.908
3,岩手県,0.969
4,宮城県,0.946
5,秋田県,0.918
6,山形県,0.883
7,福島県,0.855
8,茨城県,0.93
9,栃木県,0.877
10,群馬県,0.91
11,埼玉県,0.846
12,千葉県,0.892
13,東京都,0.995
14,神奈川県,0.897
15,新潟県,0.87
16,富山県,0.958
17,石川県,0.886
18,福井県,0.922
19,山梨県,0.815
20,長野県,0.9
21,岐阜県,0.915
22,静岡県,0.852
23,愛知県,0.933
24,三重県,0.933
25,滋賀県,0.819
26,京都府,0.955
27,大阪府,0.917
28,兵庫県,0.969
29,奈良県,0.929
30,和歌山県,0.884
31,鳥取県,0.997
32,島根県,0.834
33,岡山県,0.915
34,広島県,0.963
35,山口県,0.978
36,徳島県,1
37,香川県,0.905
38,愛媛県,0.95
39,高知県,0.98
40,福岡県,0.948
41,佐賀県,0.933
42,長崎県,0.957
43,熊本県,0.993
44,大分県,0.877
45,宮崎県,0.908
46,鹿児島県,0.884
47,沖縄県,0.961
