code,prefecture,men,women
1,北海道,3,2
2,青森県,3,2
3,岩手県,3,2
4,宮城県,3,2
5,秋田県,3,2
6,山形県,2,3
7,福島県,3,2
8,茨城県,3,3
9,栃木県,3,2
10,群馬県,3,2
11,埼玉県,3,2
12,千葉県,3,2
13,東京都,2,4
14,神奈川県,2,3
15,新潟県,3,2
16,富山県,3,2
17,石川県,4,2
18,福井県,4,2
19,山梨県,3,2
20,長野県,2,3
21,岐阜県,2,3
22,静岡県,4,1
23,愛知県,2,3
24,三重県,2,2
25,滋賀県,3,2
26,京都府,3,2
27,大阪府,3,2
28,兵庫県,3,2
29,奈良県,3,2
30,和歌山県,4,2
31,鳥取県,2,3
32,島根県,2,4
33,岡山県,3,2
34,広島県,3,2
35,山口県,2,3
36,徳島県,3,2
37,香川県,2,3
38,愛媛県,2,3
39,高知県,3,2
40,福岡県,3,2
41,佐賀県,3,2
42,長崎県,3,2
43,熊本県,4,1
44,大分県,3,2
45,宮崎県,3,3
46,鹿児島県,2,3
47,沖縄県,3,2
