code,prefecture,men,women
1,北海道,256,13
2,青森県,54,8
3,岩手県,66,10
4,宮城県,85,8
5,秋田県,43,4
6,山形県,46,10
7,福島県,80,5
8,茨城県,97,18
9,栃木県,62,7
10,群馬県,67,10
11,埼玉県,173,15
12,千葉県,168,10
13,東京都,337,63
14,神奈川県,178,42
15,新潟県,90,8
16,富山県,40,7
17,石川県,46,9
18,福井県,28,4
19,山梨県,36,4
20,長野県,83,12
21,岐阜県,76,6
22,静岡県,108,24
23,愛知県,195,21
24,三重県,63,6
25,滋賀県,49,6
26,京都府,82,11
27,大阪府,222,36
28,兵庫県,185,17
29,奈良県,42,4
30,和歌山県,35,6
31,鳥取県,30,2
32,島根県,39,7
33,岡山県,72,11
34,広島県,109,13
35,山口県,59,8
36,徳島県,21,10
37,香川県,35,5
38,愛媛県,49,6
39,高知県,36,4
40,福岡県,147,21
41,佐賀県,35,5
42,長崎県,69,9
43,熊本県,64,5
44,大分県,50,3
45,宮崎県,44,6
46,鹿児島県,79,9
47,沖縄県,60,5
