code,prefecture,men,women
1,北海道,1625,263
2,青森県,413,88
3,岩手県,379,143
4,宮城県,571,162
5,秋田県,275,101
6,山形県,312,111
7,福島県,635,109
8,茨城県,637,282
9,栃木県,369,227
10,群馬県,406,166
11,埼玉県,1314,306
12,千葉県,1210,298
13,東京都,2020,734
14,神奈川県,1157,646
15,新潟県,670,140
16,富山県,214,162
17,石川県,232,148
18,福井県,202,97
19,山梨県,259,91
20,長野県,522,153
21,岐阜県,478,261
22,静岡県,778,293
23,愛知県,1326,502
24,三重県,387,224
25,滋賀県,291,142
26,京都府,528,192
27,大阪府,1511,394
28,兵庫県,1078,299
29,奈良県,286,81
30,和歌山県,258,141
31,鳥取県,167,67
32,島根県,283,73
33,岡山県,503,228
34,広島県,545,346
35,山口県,399,145
36,徳島県,226,128
37,香川県,262,130
38,愛媛県,401,94
39,高知県,206,167
40,福岡県,1038,420
41,佐賀県,223,85
42,長崎県,521,96
43,熊本県,525,139
44,大分県,383,98
45,宮崎県,368,89
46,鹿児島県,661,143
47,沖縄県,420,128
