code,prefecture,【17】四年制大学進学率の男女差
1,北海道,45
2,青森県,24
3,岩手県,9
4,宮城県,29
5,秋田県,29
6,山形県,21
7,福島県,32
8,茨城県,22
9,栃木県,34
10,群馬県,31
11,埼玉県,46
12,千葉県,36
13,東京都,3
14,神奈川県,23
15,新潟県,40
16,富山県,10
17,石川県,17
18,福井県,32
19,山梨県,47
20,長野県,20
21,岐阜県,35
22,静岡県,41
23,愛知県,12
24,三重県,36
25,滋賀県,43
26,京都府,8
27,大阪府,28
28,兵庫県,7
29,奈良県,15
30,和歌山県,38
31,鳥取県,19
32,島根県,26
33,岡山県,11
34,広島県,6
35,山口県,5
36,徳島県,1
37,香川県,25
38,愛媛県,16
39,高知県,13
40,福岡県,13
41,佐賀県,26
42,長崎県,18
43,熊本県,2
44,大分県,42
45,宮崎県,38
46,鹿児島県,44
47,沖縄県,3
