code,prefecture,men,women
1,北海道,217,12
2,青森県,57,17
3,岩手県,45,16
4,宮城県,53,9
5,秋田県,43,13
6,山形県,40,16
7,福島県,37,23
8,茨城県,64,11
9,栃木県,32,14
10,群馬県,36,13
11,埼玉県,36,15
12,千葉県,56,7
13,東京都,67,19
14,神奈川県,58,12
15,新潟県,61,12
16,富山県,48,11
17,石川県,54,6
18,福井県,42,21
19,山梨県,42,6
20,長野県,32,17
21,岐阜県,35,15
22,静岡県,44,19
23,愛知県,54,14
24,三重県,46,17
25,滋賀県,44,12
26,京都府,48,10
27,大阪府,65,10
28,兵庫県,68,10
29,奈良県,34,12
30,和歌山県,49,11
31,鳥取県,29,25
32,島根県,56,15
33,岡山県,49,16
34,広島県,59,10
35,山口県,61,15
36,徳島県,46,16
37,香川県,47,14
38,愛媛県,47,13
39,高知県,42,17
40,福岡県,64,19
41,佐賀県,50,14
42,長崎県,88,12
43,熊本県,58,25
44,大分県,43,18
45,宮崎県,54,7
46,鹿児島県,66,13
47,沖縄県,45,14
