code,prefecture,men,women
1,北海道,23872,8861
2,青森県,5567,2162
3,岩手県,6278,2667
4,宮城県,6685,3121
5,秋田県,5139,1955
6,山形県,5985,2289
7,福島県,8137,3057
8,茨城県,11048,4633
9,栃木県,6399,2955
10,群馬県,7323,2501
11,埼玉県,18892,8747
12,千葉県,15137,6155
13,東京都,19663,9261
14,神奈川県,11833,6070
15,新潟県,7401,3325
16,富山県,3572,1172
17,石川県,3700,1673
18,福井県,4201,1936
19,山梨県,5586,2040
20,長野県,12404,5505
21,岐阜県,10228,4565
22,静岡県,10784,4935
23,愛知県,15879,7024
24,三重県,6527,2784
25,滋賀県,6105,3340
26,京都府,6259,3146
27,大阪府,15428,7455
28,兵庫県,11768,5534
29,奈良県,5534,2246
30,和歌山県,6383,2552
31,鳥取県,2449,1387
32,島根県,4344,1869
33,岡山県,7083,3545
34,広島県,6120,2701
35,山口県,4867,2300
36,徳島県,4541,1925
37,香川県,3846,1736
38,愛媛県,6968,3165
39,高知県,4399,2073
40,福岡県,12365,6868
41,佐賀県,3437,1557
42,長崎県,6544,2344
43,熊本県,10087,3747
44,大分県,5405,2427
45,宮崎県,4704,1909
46,鹿児島県,9540,3537
47,沖縄県,4598,2182
