code,prefecture,men,women
1,北海道,3579,209
2,青森県,685,50
3,岩手県,968,169
4,宮城県,831,129
5,秋田県,582,73
6,山形県,952,99
7,福島県,1233,88
8,茨城県,1217,153
9,栃木県,577,82
10,群馬県,991,127
11,埼玉県,1888,252
12,千葉県,1416,216
13,東京都,1899,318
14,神奈川県,883,106
15,新潟県,817,100
16,富山県,453,47
17,石川県,423,58
18,福井県,395,63
19,山梨県,526,84
20,長野県,1746,179
21,岐阜県,904,91
22,静岡県,967,106
23,愛知県,1324,193
24,三重県,801,115
25,滋賀県,425,58
26,京都府,674,104
27,大阪府,1237,176
28,兵庫県,1050,165
29,奈良県,812,94
30,和歌山県,587,65
31,鳥取県,294,68
32,島根県,510,104
33,岡山県,442,88
34,広島県,742,104
35,山口県,541,77
36,徳島県,515,68
37,香川県,365,61
38,愛媛県,446,57
39,高知県,713,96
40,福岡県,1009,223
41,佐賀県,395,73
42,長崎県,612,61
43,熊本県,1551,160
44,大分県,473,45
45,宮崎県,723,84
46,鹿児島県,1026,89
47,沖縄県,590,72
