code,prefecture,men,women
1,北海道,57,12
2,青森県,44,14
3,岩手県,66,12
4,宮城県,43,17
5,秋田県,52,9
6,山形県,55,7
7,福島県,45,23
8,茨城県,38,14
9,栃木県,48,9
10,群馬県,42,11
11,埼玉県,46,27
12,千葉県,41,11
13,東京都,61,28
14,神奈川県,48,9
15,新潟県,60,15
16,富山県,55,12
17,石川県,57,14
18,福井県,32,20
19,山梨県,60,6
20,長野県,63,17
21,岐阜県,45,14
22,静岡県,49,13
23,愛知県,60,12
24,三重県,57,8
25,滋賀県,41,36
26,京都府,53,13
27,大阪府,55,8
28,兵庫県,48,11
29,奈良県,53,8
30,和歌山県,47,10
31,鳥取県,41,28
32,島根県,42,30
33,岡山県,49,16
34,広島県,57,16
35,山口県,50,10
36,徳島県,42,38
37,香川県,48,12
38,愛媛県,54,7
39,高知県,50,10
40,福岡県,45,16
41,佐賀県,53,19
42,長崎県,59,9
43,熊本県,45,24
44,大分県,46,14
45,宮崎県,46,9
46,鹿児島県,40,17
47,沖縄県,20,5
