code,prefecture,men,women
1,北海道,6437,1120
2,青森県,1328,266
3,岩手県,992,212
4,宮城県,2179,639
5,秋田県,1017,283
6,山形県,818,228
7,福島県,1762,317
8,茨城県,2265,374
9,栃木県,1103,229
10,群馬県,1286,224
11,埼玉県,4416,887
12,千葉県,3340,570
13,東京都,4078,855
14,神奈川県,4944,1125
15,新潟県,1192,228
16,富山県,1275,478
17,石川県,903,295
18,福井県,739,243
19,山梨県,792,153
20,長野県,1619,271
21,岐阜県,2018,417
22,静岡県,2264,452
23,愛知県,4723,1125
24,三重県,1891,529
25,滋賀県,1280,447
26,京都府,2279,607
27,大阪府,5312,1279
28,兵庫県,4476,1276
29,奈良県,1227,385
30,和歌山県,889,211
31,鳥取県,448,178
32,島根県,806,247
33,岡山県,1640,346
34,広島県,1895,498
35,山口県,1298,273
36,徳島県,723,249
37,香川県,630,136
38,愛媛県,986,134
39,高知県,553,145
40,福岡県,2787,617
41,佐賀県,676,139
42,長崎県,1151,172
43,熊本県,1488,263
44,大分県,941,175
45,宮崎県,719,130
46,鹿児島県,1700,275
47,沖縄県,1178,236
