code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,43,29,44,46,14,33
2,青森県,39,32,2,43,14,5
3,岩手県,19,42,40,24,14,24
4,宮城県,23,3,29,30,1,15
5,秋田県,34,25,27,27,14,47
6,山形県,38,46,3,26,1,43
7,福島県,44,47,42,47,14,35
8,茨城県,15,8,19,16,1,27
9,栃木県,5,21,13,5,14,20
10,群馬県,26,35,34,19,14,37
11,埼玉県,24,15,33,37,14,26
12,千葉県,16,23,46,28,14,44
13,東京都,25,18,14,18,1,6
14,神奈川県,3,2,1,6,1,11
15,新潟県,37,28,38,43,14,22
16,富山県,4,10,18,4,14,27
17,石川県,1,1,15,2,14,38
18,福井県,8,5,36,12,45,10
19,山梨県,46,43,4,35,1,29
20,長野県,30,15,21,31,14,8
21,岐阜県,10,19,25,10,14,1
22,静岡県,22,24,7,25,46,19
23,愛知県,18,32,17,22,1,41
24,三重県,13,21,22,13,1,13
25,滋賀県,19,17,39,9,14,9
26,京都府,6,12,24,23,14,32
27,大阪府,17,7,10,34,14,34
28,兵庫県,32,20,26,32,14,11
29,奈良県,31,32,29,29,14,4
30,和歌山県,11,31,5,8,1,17
31,鳥取県,29,38,36,7,14,3
32,島根県,47,27,15,38,1,25
33,岡山県,9,6,11,14,14,14
34,広島県,2,4,20,1,14,18
35,山口県,33,25,42,21,46,45
36,徳島県,40,14,7,15,14,15
37,香川県,28,44,32,11,1,46
38,愛媛県,36,40,31,40,1,7
39,高知県,7,9,5,3,14,2
40,福岡県,12,13,12,20,14,21
41,佐賀県,21,36,41,17,14,36
42,長崎県,45,30,35,45,14,31
43,熊本県,26,45,22,36,14,39
44,大分県,35,37,47,33,14,40
45,宮崎県,42,39,44,41,1,42
46,鹿児島県,41,41,28,42,14,22
47,沖縄県,14,11,9,39,14,30
