code,prefecture,【17】四年制大学進学率の男女差
1,北海道,45
2,青森県,21
3,岩手県,12
4,宮城県,31
5,秋田県,23
6,山形県,14
7,福島県,41
8,茨城県,14
9,栃木県,36
10,群馬県,27
11,埼玉県,46
12,千葉県,38
13,東京都,4
14,神奈川県,29
15,新潟県,40
16,富山県,34
17,石川県,24
18,福井県,42
19,山梨県,47
20,長野県,39
21,岐阜県,33
22,静岡県,35
23,愛知県,14
24,三重県,20
25,滋賀県,36
26,京都府,9
27,大阪府,31
28,兵庫県,6
29,奈良県,13
30,和歌山県,25
31,鳥取県,1
32,島根県,43
33,岡山県,10
34,広島県,17
35,山口県,22
36,徳島県,1
37,香川県,19
38,愛媛県,17
39,高知県,1
40,福岡県,11
41,佐賀県,27
42,長崎県,8
43,熊本県,5
44,大分県,29
45,宮崎県,26
46,鹿児島県,44
47,沖縄県,6
