code,prefecture,men,women
1,北海道,125074,19461
2,青森県,24817,3644
3,岩手県,22862,3310
4,宮城県,50274,7195
5,秋田県,19904,2314
6,山形県,23533,2458
7,福島県,42256,5294
8,茨城県,60894,11652
9,栃木県,46885,7171
10,群馬県,42023,5214
11,埼玉県,155814,22942
12,千葉県,128950,22800
13,東京都,751205,151314
14,神奈川県,206149,37029
15,新潟県,47724,4909
16,富山県,25417,3291
17,石川県,29359,3884
18,福井県,19847,2138
19,山梨県,23557,4262
20,長野県,49314,5883
21,岐阜県,46742,7110
22,静岡県,78529,10867
23,愛知県,186541,30840
24,三重県,38928,5822
25,滋賀県,27817,3993
26,京都府,68326,11234
27,大阪府,290287,55987
28,兵庫県,113358,21684
29,奈良県,26090,4795
30,和歌山県,21038,3011
31,鳥取県,11884,2067
32,島根県,14377,1661
33,岡山県,44622,7115
34,広島県,68063,12377
35,山口県,26986,4105
36,徳島県,17633,2991
37,香川県,24776,3939
38,愛媛県,32116,4490
39,高知県,15436,2365
40,福岡県,129756,25358
41,佐賀県,16523,2320
42,長崎県,26818,3949
43,熊本県,39794,6534
44,大分県,27691,5359
45,宮崎県,25712,3584
46,鹿児島県,35213,5055
47,沖縄県,35998,9353
