code,prefecture,行政,教育,政治,経済
1,北海道,0.17,0.304,0.185,0.333
2,青森県,0.206,0.381,0.111,0.36
3,岩手県,0.221,0.367,0.141,0.375
4,宮城県,0.197,0.415,0.161,0.36
5,秋田県,0.195,0.327,0.138,0.37
6,山形県,0.238,0.378,0.187,0.364
7,福島県,0.21,0.308,0.127,0.36
8,茨城県,0.218,0.419,0.155,0.337
9,栃木県,0.227,0.416,0.206,0.348
10,群馬県,0.203,0.345,0.132,0.344
11,埼玉県,0.254,0.317,0.194,0.341
12,千葉県,0.199,0.342,0.211,0.349
13,東京都,0.257,0.429,0.292,0.377
14,神奈川県,0.232,0.495,0.226,0.352
15,新潟県,0.213,0.331,0.22,0.36
16,富山県,0.225,0.422,0.127,0.353
17,石川県,0.233,0.47,0.112,0.343
18,福井県,0.266,0.377,0.156,0.339
19,山梨県,0.189,0.313,0.146,0.348
20,長野県,0.228,0.389,0.152,0.351
21,岐阜県,0.272,0.427,0.142,0.34
22,静岡県,0.227,0.374,0.151,0.337
23,愛知県,0.22,0.382,0.148,0.347
24,三重県,0.245,0.407,0.165,0.337
25,滋賀県,0.281,0.4,0.195,0.352
26,京都府,0.261,0.413,0.211,0.353
27,大阪府,0.223,0.384,0.207,0.356
28,兵庫県,0.226,0.383,0.205,0.358
29,奈良県,0.219,0.379,0.122,0.357
30,和歌山県,0.201,0.407,0.131,0.355
31,鳥取県,0.395,0.42,0.126,0.362
32,島根県,0.273,0.365,0.109,0.362
33,岡山県,0.262,0.443,0.153,0.355
34,広島県,0.225,0.503,0.137,0.354
35,山口県,0.226,0.332,0.153,0.367
36,徳島県,0.311,0.418,0.156,0.363
37,香川県,0.257,0.4,0.138,0.353
38,愛媛県,0.203,0.374,0.134,0.349
39,高知県,0.257,0.461,0.128,0.375
40,福岡県,0.258,0.423,0.153,0.356
41,佐賀県,0.272,0.35,0.112,0.354
42,長崎県,0.206,0.328,0.124,0.361
43,熊本県,0.19,0.357,0.128,0.353
44,大分県,0.225,0.326,0.112,0.359
45,宮崎県,0.205,0.308,0.123,0.367
46,鹿児島県,0.186,0.317,0.111,0.343
47,沖縄県,0.238,0.414,0.135,0.384
