code,prefecture,行政,教育,政治,経済
1,北海道,47,47,12,47
2,青森県,35,25,45,13
3,岩手県,29,31,26,3
4,宮城県,42,14,14,13
5,秋田県,43,40,27,5
6,山形県,16,27,11,8
7,福島県,34,45,36,13
8,茨城県,32,11,17,44
9,栃木県,21,13,7,35
10,群馬県,38,35,32,38
11,埼玉県,14,42,10,41
12,千葉県,41,36,4,33
13,東京都,11,6,1,2
14,神奈川県,19,2,2,30
15,新潟県,33,38,3,13
16,富山県,25,9,36,26
17,石川県,18,3,42,39
18,福井県,7,28,15,43
19,山梨県,45,44,24,35
20,長野県,20,21,21,32
21,岐阜県,5,7,25,42
22,静岡県,21,29,22,44
23,愛知県,30,24,23,37
24,三重県,15,17,13,44
25,滋賀県,3,19,9,30
26,京都府,9,16,4,26
27,大阪府,28,22,6,20
28,兵庫県,23,23,8,18
29,奈良県,31,26,41,19
30,和歌山県,40,17,33,22
31,鳥取県,1,10,38,10
32,島根県,4,32,47,10
33,岡山県,8,5,18,22
34,広島県,25,1,29,24
35,山口県,23,37,18,6
36,徳島県,2,12,15,9
37,香川県,11,19,27,26
38,愛媛県,38,29,31,33
39,高知県,11,4,34,3
40,福岡県,10,8,18,20
41,佐賀県,5,34,42,24
42,長崎県,35,39,39,12
43,熊本県,44,33,34,26
44,大分県,25,41,42,17
45,宮崎県,37,45,40,6
46,鹿児島県,46,42,45,39
47,沖縄県,16,15,30,1
