code,prefecture,フルタイムの仕事に従事する割合の男女比,フルタイムの仕事に従事する男女間の賃金格差,フルタイム以外の仕事に従事する男女間の賃金格差,企業や法人の役員・管理職の男女比,共働き家庭の家事・育児等に使用する時間の男女格差_inverse,社長数の男女比,農協役員の男女比
1,北海道,0.608,0.759,0.813,0.178,0.126,0.148,0.018
2,青森県,0.72,0.776,0.744,0.193,0.151,0.143,0.104
3,岩手県,0.704,0.787,0.778,0.177,0.19,0.144,0.147
4,宮城県,0.649,0.751,0.805,0.201,0.178,0.141,0.107
5,秋田県,0.738,0.773,0.994,0.166,0.164,0.115,0.107
6,山形県,0.78,0.769,0.886,0.154,0.177,0.102,0.093
7,福島県,0.721,0.744,0.826,0.18,0.183,0.124,0.103
8,茨城県,0.589,0.735,0.752,0.188,0.147,0.136,0.091
9,栃木県,0.623,0.773,0.837,0.175,0.135,0.141,0.087
10,群馬県,0.608,0.742,0.822,0.168,0.157,0.119,0.113
11,埼玉県,0.539,0.767,0.841,0.152,0.153,0.144,0.08
12,千葉県,0.585,0.757,0.851,0.147,0.157,0.171,0.093
13,東京都,0.701,0.738,0.825,0.215,0.187,0.198,0.121
14,神奈川県,0.545,0.765,0.764,0.157,0.161,0.175,0.148
15,新潟県,0.702,0.793,0.849,0.146,0.174,0.101,0.103
16,富山県,0.694,0.781,0.815,0.135,0.16,0.106,0.118
17,石川県,0.649,0.732,0.934,0.133,0.148,0.11,0.117
18,福井県,0.667,0.775,0.885,0.136,0.141,0.106,0.038
19,山梨県,0.615,0.737,0.825,0.161,0.145,0.18,0.106
20,長野県,0.648,0.741,0.843,0.155,0.154,0.114,0.169
21,岐阜県,0.552,0.746,0.844,0.137,0.144,0.134,0.149
22,静岡県,0.601,0.742,0.902,0.159,0.119,0.134,0.095
23,愛知県,0.559,0.744,0.755,0.185,0.133,0.159,0.18
24,三重県,0.57,0.707,0.89,0.191,0.143,0.145,0.083
25,滋賀県,0.593,0.733,0.825,0.172,0.147,0.141,0.194
26,京都府,0.633,0.757,0.801,0.23,0.128,0.161,0.094
27,大阪府,0.621,0.736,0.731,0.206,0.14,0.189,0.157
28,兵庫県,0.582,0.767,0.875,0.189,0.134,0.177,0.134
29,奈良県,0.563,0.778,0.772,0.212,0.161,0.178,0.077
30,和歌山県,0.604,0.773,0.757,0.19,0.141,0.139,0.169
31,鳥取県,0.71,0.785,0.717,0.207,0.162,0.169,0.052
32,島根県,0.672,0.792,0.821,0.197,0.149,0.113,0.122
33,岡山県,0.655,0.752,0.898,0.203,0.152,0.156,0.053
34,広島県,0.615,0.741,0.869,0.199,0.151,0.169,0.092
35,山口県,0.642,0.757,0.83,0.213,0.16,0.147,0.158
36,徳島県,0.674,0.786,0.71,0.232,0.136,0.165,0.118
37,香川県,0.689,0.727,0.736,0.218,0.159,0.155,0.1
38,愛媛県,0.621,0.75,0.935,0.17,0.136,0.134,0.108
39,高知県,0.732,0.789,0.743,0.255,0.161,0.15,0.094
40,福岡県,0.679,0.734,0.847,0.231,0.114,0.192,0.091
41,佐賀県,0.708,0.762,0.705,0.194,0.147,0.139,0.117
42,長崎県,0.697,0.793,0.787,0.213,0.126,0.142,0.101
43,熊本県,0.661,0.747,0.824,0.236,0.122,0.161,0.084
44,大分県,0.646,0.772,0.559,0.207,0.157,0.191,0.149
45,宮崎県,0.673,0.767,0.836,0.201,0.185,0.136,0.096
46,鹿児島県,0.637,0.746,0.686,0.192,0.143,0.14,0.12
47,沖縄県,0.682,0.787,1,0.145,0.181,0.257,0.05
